2026-01-05 10:23:39 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-01-05 10:23:39 [main] INFO  org.dromara.DromaraApplication - Starting DromaraApplication using Java 17.0.16 with PID 5556 (D:\MaJingyao\RuoYi-Vue-Plus-5.X\ruoyi-admin\target\classes started by KitMa in D:\MaJingyao\RuoYi-Vue-Plus-5.X)
2026-01-05 10:23:39 [main] INFO  org.dromara.DromaraApplication - The following 1 profile is active: "dev"
2026-01-05 10:24:06 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-01-05 10:24:08 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-01-05 10:24:08 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-01-05 10:24:09 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@10264cb0
2026-01-05 10:24:09 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-01-05 10:24:09 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-01-05 10:24:09 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
